,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
0,2021-11-11 18:46:00,2.082,2.085,2.082,2.083,37515.0,2021-11-11 18:46:59.999000064,78197.1302,167.0,28928.0,60307.246,0
1,2021-11-11 18:47:00,2.084,2.086,2.083,2.086,64907.2,2021-11-11 18:47:59.999000064,135318.6797,187.0,57807.0,120526.2576,0
2,2021-11-11 18:48:00,2.086,2.087,2.085,2.087,58358.2,2021-11-11 18:48:59.999000064,121771.9419,134.0,49629.0,103562.8592,0
3,2021-11-11 18:49:00,2.087,2.09,2.086,2.089,47066.5,2021-11-11 18:49:59.999000064,98275.6354,210.0,28907.5,60371.9944,0
4,2021-11-11 18:50:00,2.088,2.091,2.087,2.089,69698.7,2021-11-11 18:50:59.999000064,145653.7164,183.0,50938.4,106468.9682,0
5,2021-11-11 18:51:00,2.09,2.091,2.087,2.088,37072.2,2021-11-11 18:51:59.999000064,77444.9986,144.0,8756.8,18299.6727,0
6,2021-11-11 18:52:00,2.087,2.088,2.086,2.088,57849.4,2021-11-11 18:52:59.999000064,120733.1705,137.0,11283.3,23555.2489,0
7,2021-11-11 18:53:00,2.088,2.088,2.083,2.085,30507.5,2021-11-11 18:53:59.999000064,63615.52,177.0,6920.9,14432.2049,0
8,2021-11-11 18:54:00,2.084,2.085,2.082,2.083,39365.9,2021-11-11 18:54:59.999000064,82010.9796,177.0,14221.3,29634.0167,0
9,2021-11-11 18:55:00,2.084,2.084,2.082,2.083,34615.1,2021-11-11 18:55:59.999000064,72098.3781,150.0,22754.7,47400.801,0
10,2021-11-11 18:56:00,2.083,2.083,2.081,2.082,31826.5,2021-11-11 18:56:59.999000064,66278.1725,121.0,24473.7,50971.7964,0
11,2021-11-11 18:57:00,2.082,2.085,2.081,2.085,28016.3,2021-11-11 18:57:59.999000064,58358.501,163.0,18383.7,38295.0977,0
12,2021-11-11 18:58:00,2.084,2.086,2.084,2.086,43458.2,2021-11-11 18:58:59.999000064,90609.3209,138.0,15291.9,31888.0056,0
13,2021-11-11 18:59:00,2.085,2.086,2.081,2.081,27826.5,2021-11-11 18:59:59.999000064,57962.0932,161.0,6424.7,13386.7301,0
14,2021-11-11 19:00:00,2.081,2.085,2.081,2.084,25066.9,2021-11-11 19:00:59.999000064,52223.1805,169.0,12306.0,25637.0238,0
