,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
0,2020-11-11 19:09:00,15863.79,15863.79,15844.34,15846.36,45.504945,2020-11-11 19:09:59.999000064,721448.64640748,733.0,20.034791,317634.44978034,0
1,2020-11-11 19:10:00,15846.35,15848.35,15835.36,15839.97,43.238682,2020-11-11 19:10:59.999000064,684859.28444053,718.0,18.795452,297688.46573792,0
2,2020-11-11 19:11:00,15839.97,15839.98,15808.87,15816.68,56.367325,2020-11-11 19:11:59.999000064,891980.3154304,938.0,17.360259,274676.22534832,0
3,2020-11-11 19:12:00,15816.68,15845.46,15810.52,15828.86,46.799855,2020-11-11 19:12:59.999000064,740839.18774252,849.0,22.715319,359629.94641238,0
4,2020-11-11 19:13:00,15828.86,15845.63,15828.85,15841.83,38.239808,2020-11-11 19:13:59.999000064,605782.65761973,550.0,8.964647,141997.85529862,0
5,2020-11-11 19:14:00,15841.82,15846.36,15832.79,15833.55,24.285677,2020-11-11 19:14:59.999000064,384726.74414724,404.0,8.744804,138537.72110193,0
6,2020-11-11 19:15:00,15832.96,15841.32,15821.56,15825.56,36.445045,2020-11-11 19:15:59.999000064,576947.61502673,686.0,12.814092,202863.38430355,0
7,2020-11-11 19:16:00,15825.57,15829.07,15820.53,15828.92,29.354537,2020-11-11 19:16:59.999000064,464570.71329731,527.0,13.184916,208678.89092529,0
8,2020-11-11 19:17:00,15828.92,15840.0,15824.64,15840.0,31.13515,2020-11-11 19:17:59.999000064,492872.73731552,435.0,20.937656,331441.39543683,0
9,2020-11-11 19:18:00,15840.0,15850.0,15839.99,15849.99,43.83514,2020-11-11 19:18:59.999000064,694487.93131731,517.0,25.100302,397646.14068519,0
10,2020-11-11 19:19:00,15849.99,15856.39,15839.28,15839.29,59.23753,2020-11-11 19:19:59.999000064,939045.20864804,523.0,10.018397,158777.60496703,0
11,2020-11-11 19:20:00,15839.29,15856.0,15839.26,15856.0,21.69973,2020-11-11 19:20:59.999000064,343833.18435041,409.0,9.683267,153430.52291772,0
12,2020-11-11 19:21:00,15856.27,15862.25,15853.52,15860.04,31.998106,2020-11-11 19:21:59.999000064,507442.01839667,387.0,16.315412,258742.68223904,0
13,2020-11-11 19:22:00,15860.03,15860.03,15840.0,15840.0,34.569946,2020-11-11 19:22:59.999000064,547963.8468816,545.0,17.162865,272055.49842542,0
14,2020-11-11 19:23:00,15840.01,15848.46,15840.0,15841.98,18.133813,2020-11-11 19:23:59.999000064,287342.63124702,320.0,7.526035,119242.53675767,0
15,2020-11-11 19:24:00,15841.97,15854.71,15835.83,15853.45,20.56968,2020-11-11 19:24:59.999000064,325927.40694028,494.0,10.993391,174191.27191346,0
16,2020-11-11 19:25:00,15852.65,15852.65,15843.29,15848.12,12.075317,2020-11-11 19:25:59.999000064,191368.57006243,302.0,6.398595,101398.99415277,0
17,2020-11-11 19:26:00,15848.13,15848.13,15827.17,15834.99,23.928525,2020-11-11 19:26:59.999000064,378976.99346251,522.0,9.036281,143113.65852622,0
18,2020-11-11 19:27:00,15835.0,15842.8,15830.66,15833.24,26.554013,2020-11-11 19:27:59.999000064,420525.93384337,538.0,12.021945,190387.40096085,0
19,2020-11-11 19:28:00,15833.24,15833.25,15798.11,15804.89,82.904744,2020-11-11 19:28:59.999000064,1311415.23843458,1156.0,13.036689,206176.53389137,0
20,2020-11-11 19:29:00,15804.89,15809.5,15782.0,15783.13,86.204637,2020-11-11 19:29:59.999000064,1361169.26685425,1552.0,24.679834,389678.05329973,0
21,2020-11-11 19:30:00,15784.08,15786.0,15702.0,15762.08,283.800481,2020-11-11 19:30:59.999000064,4468729.1708034,3399.0,119.531747,1882017.03563942,0
22,2020-11-11 19:31:00,15762.07,15766.5,15740.0,15761.11,58.541781,2020-11-11 19:31:59.999000064,922197.24556784,1216.0,20.198579,318202.33573813,0
23,2020-11-11 19:32:00,15759.26,15777.0,15753.0,15771.28,85.13356,2020-11-11 19:32:59.999000064,1342238.26590558,1278.0,49.399389,778875.25232134,0
24,2020-11-11 19:33:00,15771.27,15777.0,15756.01,15764.38,52.503198,2020-11-11 19:33:59.999000064,827825.66737741,850.0,30.63957,483069.58646147,0
25,2020-11-11 19:34:00,15764.37,15777.0,15760.87,15765.0,45.049848,2020-11-11 19:34:59.999000064,710388.78631676,803.0,21.365614,336947.40110569,0
26,2020-11-11 19:35:00,15766.12,15786.16,15760.79,15777.93,79.670674,2020-11-11 19:35:59.999000064,1256727.22190324,1004.0,45.032904,710211.29376791,0
